"Ticker","Company Name","Sector","Shares Outstanding, Millions"
"JCI","Johnson Controls","Consumer Discretionary","654.1"
"JEC","Jacobs Engineering Group","Industrials","124.1"
"JNJ","Johnson & Johnson","Health Care","2769.0"
"JNPR","Juniper Networks","Information Technology","384.3"
"JPM","JPMorgan Chase & Co.","Financials","3698.1"
"JWN","Nordstrom","Consumer Discretionary","188.2"
"K","Kellogg Co.","Consumer Staples","353.0"
"KEY","KeyCorp","Financials","843.6"
"KHC","The Kraft Heinz Co","Consumer Staples","1210.0"
"KIM","Kimco Realty","Financials","413.1"
"KLAC","KLA-Tencor Corp.","Information Technology","157.9"
"KMB","Kimberly-Clark","Consumer Staples","364.3"
"KMI","Kinder Morgan","Energy","2188.2"
"KMX","Carmax Inc.","Consumer Discretionary","204.9"
"KO","The Coca Cola Co.","Consumer Staples","4349.0"
"KORS","Michael Kors Holdings","Consumer Discretionary","193.4"
"KR","Kroger Co.","Consumer Staples","965.0"
"KSS","Kohl's Corp.","Consumer Discretionary","196.0"
"KSU","Kansas City Southern","Industrials","110.3"
"L","Loews Corp.","Financials","365.6"
"LB","L Brands Inc.","Consumer Discretionary","291.0"
"LEG","Leggett & Platt","Industrials","136.8"
"LEN","Lennar Corp.","Consumer Discretionary","205.2"
"LH","LabCorp","Health Care","100.8"
"LLL","L-3 Comm's Holdings","Industrials","80.8"
"LLTC","Linear Technology Corp.","Information Technology","239.8"
"LLY","Eli Lilly and Co.","Health Care","1108.5"
"LM","Legg Mason","Financials","109.7"
"LMT","Lockheed Martin Corp.","Industrials","310.5"
"LNC","Lincoln National","Financials","250.9"
"LOW","Lowe's Cos.","Consumer Discretionary","928.0"
"LRCX","Lam Research","Information Technology","158.5"
"LUK","Leucadia National Corp.","Financials","366.6"
"LUV","Southwest Airlines","Industrials","659.4"
"LVLT","Level 3 Comm's","TelecommunicationsServices","354.6"
"LYB","LyondellBasell","Materials","465.9"
"M","Macy's Inc.","Consumer Discretionary","331.0"
"MA","Mastercard Inc.","Information Technology","1134.0"
"MAC","Macerich","Financials","158.5"
"MAR","Marriott Int'l.","Consumer Discretionary","267.3"
"MAS","Masco Corp.","Industrials","339.0"
"MAT","Mattel Inc.","Consumer Discretionary","338.6"
"MCD","McDonald's Corp.","Consumer Discretionary","941.8"
"MCHP","Microchip Technology","Information Technology","202.4"
"MCK","McKesson Corp.","Health Care","232.0"
